00502	OIML R 50-1:1997	tip_year=2014	supplementary totalization indicating device (matched_by designation)
01546	OIML R 117-1:2007	tip_year=2019	metering conditions
01824	OIML R 134:2003	tip_year=2006	fault (matched_by designation)
02215	OIML D 11:2013	tip_year=2026	electronic measuring instrument (matched_by designation)
02240-R080-1	OIML R 80-1:2009	tip_year=2017	transportable measuring tank
02241-R080-1	OIML R 80-1:2009	tip_year=2017	static measuring system
02242-R080-1	OIML R 80-1:2009	tip_year=2017	ancillary device
02243-R080-1	OIML R 80-1:2009	tip_year=2017	additional device
02244-R080-1	OIML R 80-1:2009	tip_year=2017	electronic part
02245-R080-1	OIML R 80-1:2009	tip_year=2017	nominal capacity
02246-R080-1	OIML R 80-1:2009	tip_year=2017	total capacity
02247-R080-1	OIML R 80-1:2009	tip_year=2017	expansion volume
02248-R080-1	OIML R 80-1:2009	tip_year=2017	true volume
02249-R080-1	OIML R 80-1:2009	tip_year=2017	indicated volume, Vi
02250-R080-1	OIML R 80-1:2009	tip_year=2017	error of indicated volume
02251-R080-1	OIML R 80-1:2009	tip_year=2017	tank or compartment calibration (tank calibration)
02252-R080-1	OIML R 80-1:2009	tip_year=2017	liquid level
02253-R080-1	OIML R 80-1:2009	tip_year=2017	reference point
02254-R080-1	OIML R 80-1:2009	tip_year=2017	reference point top
02255-R080-1	OIML R 80-1:2009	tip_year=2017	reference point bottom
02256-R080-1	OIML R 80-1:2009	tip_year=2017	reference height
02257-R080-1	OIML R 80-1:2009	tip_year=2017	ullage height (C)
02258-R080-1	OIML R 80-1:2009	tip_year=2017	liquid height (h)
02259-R080-1	OIML R 80-1:2009	tip_year=2017	sensitivity of a tank
02260-R080-1	OIML R 80-1:2009	tip_year=2017	tank capacity table
02261-R080-1	OIML R 80-1:2009	tip_year=2017	baffle
02262-R080-1	OIML R 80-1:2009	tip_year=2017	level sensor
02263-R080-1	OIML R 80-1:2009	tip_year=2017	measuring range of the level sensor
02264-R080-1	OIML R 80-1:2009	tip_year=2017	temperature sensor
02265-R080-1	OIML R 80-1:2009	tip_year=2017	inclination sensor
02266-R080-1	OIML R 80-1:2009	tip_year=2017	longitudinal axis and pitch angle
02267-R080-1	OIML R 80-1:2009	tip_year=2017	transverse axis and roll angle
02268-R080-1	OIML R 80-1:2009	tip_year=2017	damping tube
02269-R080-1	OIML R 80-1:2009	tip_year=2017	transfer point
02270-R080-1	OIML R 80-1:2009	tip_year=2017	empty hose (dry hose)
02271-R080-1	OIML R 80-1:2009	tip_year=2017	full hose (wet hose)
02272-R080-1	OIML R 80-1:2009	tip_year=2017	collector (manifold)
02273-R080-1	OIML R 80-1:2009	tip_year=2017	built-in manifold
02274-R080-1	OIML R 80-1:2009	tip_year=2017	direct discharger
02275-R080-1	OIML R 80-1:2009	tip_year=2017	top loading
02276-R080-1	OIML R 80-1:2009	tip_year=2017	bottom loading
02277-R080-1	OIML R 80-1:2009	tip_year=2017	transaction
02278-R080-1	OIML R 80-1:2009	tip_year=2017	reference position
02279-R080-1	OIML R 80-1:2009	tip_year=2017	working conditions
02280-R080-1	OIML R 80-1:2009	tip_year=2017	base conditions
02281-R080-1	OIML R 80-1:2009	tip_year=2017	liquid detector
02282-R080-1	OIML R 80-1:2009	tip_year=2017	liquid indicator
02283-R080-1	OIML R 80-1:2009	tip_year=2017	minimum measured quantity
02284-R080-1	OIML R 80-1:2009	tip_year=2017	minimum specified volume deviation
02285-R080-1	OIML R 80-1:2009	tip_year=2017	influence quantity
02286-R080-1	OIML R 80-1:2009	tip_year=2017	disturbance
02287-R080-1	OIML R 80-1:2009	tip_year=2017	fault
02288-R080-1	OIML R 80-1:2009	tip_year=2017	significant fault
02289-R080-1	OIML R 80-1:2009	tip_year=2017	rated operating conditions
02290-R080-1	OIML R 80-1:2009	tip_year=2017	reference conditions
02291-R080-1	OIML R 80-1:2009	tip_year=2017	influence factor
02292-R080-1	OIML R 80-1:2009	tip_year=2017	durability
02293-R080-1	OIML R 80-1:2009	tip_year=2017	intrinsic error
02294-R080-1	OIML R 80-1:2009	tip_year=2017	initial intrinsic error
02295-R080-1	OIML R 80-1:2009	tip_year=2017	checking facility
02296-R080-1	OIML R 80-1:2009	tip_year=2017	automatic checking facility
02297-R080-1	OIML R 80-1:2009	tip_year=2017	permanent automatic checking facility (type P)
02298-R080-1	OIML R 80-1:2009	tip_year=2017	intermittent automatic checking facility (type I)
02385	OIML R 49-1:2013	tip_year=2024	equipment under test
02435	OIML R 49-1:2013	tip_year=2024	electronic sub-assembly
02727	OIML R 139-1:2018	tip_year=2022	additional device
02844	OIML R 139-1:2018	tip_year=2022	adjustment device
02860	OIML R 139-1:2018	tip_year=2022	ancillary device
02914	OIML R 117-1:2017	tip_year=2019	calculator
03000	OIML R 117-1:2007	tip_year=2019	disturbance
03066	OIML R 126-1:2020	tip_year=2021	fault
03108	OIML R 139-1:2018	tip_year=2022	indication
03127	OIML R 117-1:2007	tip_year=2019	influence quantity
03159	OIML D 31:2019	tip_year=2023	interruptible cumulative measurement
03201	OIML R 60-1:2019	tip_year=2021	load cell intrinsic error
03202	OIML R 60-1:2019	tip_year=2021	load cell measuring range (for verification)
03203	OIML R 60-1:2019	tip_year=2021	load cell output
03288	OIML R 117-1:2007	tip_year=2019	meter (for quantities (volume or mass) of liquids)
03578	OIML R 117-1:2007	tip_year=2019	transducer
03580	OIML R 80-1:2009	tip_year=2017	transfer point
