00115	OIML B 10-1:2004	tip_year=2011	customer
00357	OIML R 21-1:2006	tip_year=2007	data storage device
00659	OIML D 11:2013	tip_year=2026	standard deviation of the error, s
01784	OIML R 134:2003	tip_year=2006	weighing instrument
01790	OIML R 134:2003	tip_year=2006	apron
01795	OIML R 134:2003	tip_year=2006	electronic component
01796	OIML R 134:2003	tip_year=2006	indicating device
01801	OIML R 134:2003	tip_year=2006	initial zero-setting device
01804	OIML R 134:2003	tip_year=2006	full draught weighing
01809	OIML R 134-1:2003	tip_year=2006	maximum capacity
01814	OIML R 134:2003	tip_year=2006	maximum operating speed
01820	OIML R 134:2003	tip_year=2006	digital indication
01828	OIML R 134:2003	tip_year=2006	influence quantity
01830	OIML R 134:2003	tip_year=2006	disturbance
01834	OIML R 134:2003	tip_year=2006	in-motion test
02216	OIML D 11:2013	tip_year=2026	module
02217	OIML D 11:2013	tip_year=2026	device
02218	OIML D 11:2013	tip_year=2026	(measurement) error
02219	OIML D 11:2013	tip_year=2026	indication
02220	OIML D 11:2013	tip_year=2026	error of indication
02221	OIML D 11:2013	tip_year=2026	maximum permissible error (of a measuring instrument)
02222	OIML D 11:2013	tip_year=2026	intrinsic error
02223	OIML D 11:2013	tip_year=2026	initial intrinsic error
02224-D011	OIML D 11:2013	tip_year=2026	fault
02225-D011	OIML D 11:2013	tip_year=2026	fault limit
02226-D011	OIML D 11:2013	tip_year=2026	significant fault
02227-D011	OIML D 11:2013	tip_year=2026	durability error
02228-D011	OIML D 11:2013	tip_year=2026	significant durability error
02229-D011	OIML D 11:2013	tip_year=2026	influence quantity
02230-D011	OIML D 11:2013	tip_year=2026	influence factor
02231-D011	OIML D 11:2013	tip_year=2026	disturbance
02232-D011	OIML D 11:2013	tip_year=2026	rated operating condition
02233-D011	OIML D 11:2013	tip_year=2026	reference operating condition
02234-D011	OIML D 11:2013	tip_year=2026	durability
02235-D011	OIML D 11:2013	tip_year=2026	checking facility
02236-D011	OIML D 11:2013	tip_year=2026	automatic checking facility
02237-D011	OIML D 11:2013	tip_year=2026	permanent automatic checking facility
02238-D011	OIML D 11:2013	tip_year=2026	intermittent automatic checking facility (type I)
02239-D011	OIML D 11:2013	tip_year=2026	non-automatic checking facility (type N)
02240-D011	OIML D 11:2013	tip_year=2026	durability protection facility
02241-D011	OIML D 11:2013	tip_year=2026	test
02242-D011	OIML D 11:2013	tip_year=2026	test procedure
02243-D011	OIML D 11:2013	tip_year=2026	test program
02244-D011	OIML D 11:2013	tip_year=2026	test level
02245-D011	OIML D 11:2013	tip_year=2026	performance test
02246-D011	OIML D 11:2013	tip_year=2026	durability test
02247-D011	OIML D 11:2013	tip_year=2026	mains powermains
02248-D011	OIML D 11:2013	tip_year=2026	power converter (power supply device)
